"metro_area","state","county_fips1","county_fips2","county_fips3","county_fips4","county_fips5","estimate_2019","actual_2010","growth","combided_statistical_area","V1","V2","V3","V4","V5","V6"
"Iowa City","IA","19103",NA,NA,NA,NA,"173,105","152,586","13.45%","Cedar Rapids-Iowa City, IA CSA",179,NA,NA,NA,NA,NA
"Abilene","TX","48441",NA,NA,NA,NA,"172,060","165,252","4.12%","",NA,NA,NA,NA,NA,NA
"Oshkosh-Neenah","WI","55139",NA,NA,NA,NA,"171,907","166,994","2.94%","Appleton-Oshkosh-Neenah, WI CSA",195,349,NA,NA,NA,NA
"Bloomington","IL","17113",NA,NA,NA,NA,"171,517","169,572","1.15%","Bloomington-Pontiac, IL CSA",202,NA,NA,NA,NA,NA
"East Stroudsburg","PA","42089",NA,NA,NA,NA,"170,271","169,842","0.25%","New York-Newark, NY-NJ-CT-PA CSA",101,NA,NA,NA,NA,NA
"Burlington","NC","37001",NA,NA,NA,NA,"169,509","151,131","12.16%","Greensboro됭inston-Salem됟igh Point, NC CSA",75,NA,NA,NA,NA,NA
"Eau Claire","WI","55035",NA,NA,NA,NA,"169,304","161,151","5.06%","Eau Claire-Menomonie, WI CSA",NA,NA,NA,NA,NA,NA
"Bloomington","IN","18105",NA,NA,NA,NA,"169,230","159,549","6.07%","Bloomington-Bedford, IN CSA",NA,NA,NA,NA,NA,NA
"Hattiesburg","MS","28035",NA,NA,NA,NA,"168,849","162,410","3.96%","Hattiesburg-Laurel, MS CSA",NA,NA,NA,NA,NA,NA
"Waterloo-Cedar Falls","IA","19013",NA,NA,NA,NA,"168,522","167,819","0.42%","",NA,NA,NA,NA,NA,NA
"Pueblo","CO","08101",NA,NA,NA,NA,"168,424","159,063","5.89%","Pueblo-Ca絪n City, CO CSA",79,NA,NA,NA,NA,NA
"Blacksburg-Christiansburg","VA","51121",NA,NA,NA,NA,"167,531","162,958","2.81%","",163,NA,NA,NA,NA,NA
"Kahului-Wailuku-Lahaina","HI","15009",NA,NA,NA,NA,"167,417","154,834","8.13%","",NA,NA,NA,NA,NA,NA
"Odessa","TX","48135",NA,NA,NA,NA,"166,223","137,130","21.22%","Midland-Odessa, TX CSA",232,NA,NA,NA,NA,NA
"Coeur d'Alene","ID","16055",NA,NA,NA,NA,"165,697","138,494","19.64%","Spokane-Spokane Valley-Coeur d'Alene, WA-ID CSA",99,NA,NA,NA,NA,NA
"Auburn-Opelika","AL","01081",NA,NA,NA,NA,"164,542","140,247","17.32%","Columbus-Auburn-Opelika, GA-AL CSA",160,NA,NA,NA,NA,NA
"Janesville-Beloit","WI","55105",NA,NA,NA,NA,"163,354","160,331","1.89%","Madison-Janesville-Beloit, WI CSA",89,153,NA,NA,NA,NA
"Wausau-Weston","WI","55073",NA,NA,NA,NA,"163,285","162,806","0.29%","Wausau-Stevens Point-Wisconsin Rapids, WI CSA",NA,NA,NA,NA,NA,NA
"State College","PA","42027",NA,NA,NA,NA,"162,385","153,990","5.45%","State College-DuBois, PA CSA",328,NA,NA,NA,NA,NA
"Sebastian-Vero Beach","FL","12061",NA,NA,NA,NA,"159,923","138,028","15.86%","Miami-Port St. Lucie-Fort Lauderdale, FL CSA",96,113,NA,NA,NA,NA
"Jackson","MI","26075",NA,NA,NA,NA,"158,510","160,248","?1.08%","",103,147,306,NA,NA,NA
"Madera","CA","06039",NA,NA,NA,NA,"157,327","150,865","4.28%","Fresno-Madera-Hanford, CA CSA",54,175,NA,NA,NA,NA
"Chambersburg-Waynesboro","PA","42055",NA,NA,NA,NA,"155,027","149,618","3.62%","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA",171,351,NA,NA,NA,NA
"Grand Junction","CO","08077",NA,NA,NA,NA,"154,210","146,723","5.10%","",NA,NA,NA,NA,NA,NA
"Elizabethtown-Fort Knox","KY","21093","21163",NA,NA,NA,"153,928","148,338","3.77%","Louisville/Jefferson County된lizabethtown됙ardstown, KY-IN CSA",46,NA,NA,NA,NA,NA
"Niles","MI","26021","26027",NA,NA,NA,"153,401","156,813","?2.18%","South Bend-Elkhart-Mishawaka, IN-MI CSA",3,157,343,NA,NA,NA
"Hanford-Corcoran","CA","06031",NA,NA,NA,NA,"152,940","152,982","?0.03%","Fresno-Madera-Hanford, CA CSA",54,62,118,124,174,NA
"Decatur","AL","01103",NA,NA,NA,NA,"152,603","153,829","?0.80%","Huntsville-Decatur, AL CSA",116,NA,NA,NA,NA,NA
"Bangor","ME","23019",NA,NA,NA,NA,"152,148","153,923","?1.15%","",NA,NA,NA,NA,NA,NA
"Alexandria","LA","22079",NA,NA,NA,NA,"152,037","153,922","?1.22%","",NA,NA,NA,NA,NA,NA
"Idaho Falls","ID","16019",NA,NA,NA,NA,"151,530","133,265","13.71%","Idaho Falls-Rexburg-Blackfoot, ID CSA",NA,NA,NA,NA,NA,NA
"Wichita Falls","TX","48485",NA,NA,NA,NA,"151,254","151,306","?0.03%","",NA,NA,NA,NA,NA,NA
"Jefferson City","MO","29051",NA,NA,NA,NA,"151,235","149,807","0.95%","",216,NA,NA,NA,NA,NA
"Monroe","MI","26115",NA,NA,NA,NA,"150,500","152,021","?1.00%","Detroit-Warren-Ann Arbor, MI CSA",14,93,147,NA,NA,NA
"Santa Fe","NM","35049",NA,NA,NA,NA,"150,358","144,170","4.29%","Albuquerque-Santa Fe-Las Vegas, NM CSA",61,NA,NA,NA,NA,NA
"Homosassa Springs","FL","12017",NA,NA,NA,NA,"149,657","141,236","5.96%","",149,309,NA,NA,NA,NA
"Vineland-Bridgeton","NJ","34011",NA,NA,NA,NA,"149,527","156,898","?4.70%","Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA",187,235,367,NA,NA,NA
"Dothan","AL","01069",NA,NA,NA,NA,"149,358","145,639","2.55%","Dothan-Ozark, AL CSA",NA,NA,NA,NA,NA,NA
"Texarkana","TX","48037",NA,NA,NA,NA,"148,761","149,198","?0.29%","",NA,NA,NA,NA,NA,NA
"Florence-Muscle Shoals","AL","01077","01033",NA,NA,NA,"147,970","147,137","0.57%","",NA,NA,NA,NA,NA,NA
"Valdosta","GA","13185",NA,NA,NA,NA,"147,292","139,588","5.52%","",NA,NA,NA,NA,NA,NA
"Albany","GA","13095",NA,NA,NA,NA,"146,726","153,857","?4.63%","",NA,NA,NA,NA,NA,NA
"Rocky Mount","NC","37065","37127",NA,NA,NA,"145,770","152,392","?4.35%","Rocky Mount-Wilson-Roanoke Rapids, NC CSA",236,NA,NA,NA,NA,NA
"Dalton","GA","13313",NA,NA,NA,NA,"144,724","142,227","1.76%","Chattanooga-Cleveland-Dalton, TN-GA-AL CSA",100,320,NA,NA,NA,NA
"Sioux City","IA","19193",NA,NA,NA,NA,"144,701","143,577","0.78%","",NA,NA,NA,NA,NA,NA
"Flagstaff","AZ","04005",NA,NA,NA,NA,"143,476","134,421","6.74%","",196,214,NA,NA,NA,NA
"Morristown","TN","47063",NA,NA,NA,NA,"142,749","136,608","4.50%","Knoxville-Morristown-Sevierville, TN CSA",NA,NA,NA,NA,NA,NA
"Logan","UT","49005",NA,NA,NA,NA,"142,165","125,442","13.33%","",85,NA,NA,NA,NA,NA
"Rapid City","SD","46103",NA,NA,NA,NA,"142,107","126,382","12.44%","Rapid City-Spearfish, SD CSA",NA,NA,NA,NA,NA,NA
"Lebanon","PA","42075",NA,NA,NA,NA,"141,793","133,568","6.16%","Harrisburg-York-Lebanon, PA CSA",98,104,129,NA,NA,NA
"Winchester","VA","51840",NA,NA,NA,NA,"140,566","128,472","9.41%","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA",NA,NA,NA,NA,NA,NA
"Sumter","SC","45085",NA,NA,NA,NA,"140,466","142,427","?1.38%","",71,220,NA,NA,NA,NA
"Morgantown","WV","54061",NA,NA,NA,NA,"139,044","129,709","7.20%","Morgantown-Fairmont, WV CSA",NA,NA,NA,NA,NA,NA
"Wheeling","WV","54069","54051",NA,NA,NA,"138,948","147,950","?6.08%","",334,NA,NA,NA,NA,NA
"Napa","CA","06055",NA,NA,NA,NA,"137,744","136,484","0.92%","San Jose-San Francisco-Oakland, CA CSA",112,122,NA,NA,NA,NA
"La Crosse-Onalaska","WI","55063",NA,NA,NA,NA,"136,616","133,665","2.21%","",NA,NA,NA,NA,NA,NA
"Sherman-Denison","TX","48181",NA,NA,NA,NA,"136,212","120,877","12.69%","Dallas-Fort Worth, TX-OK CSA",NA,NA,NA,NA,NA,NA
"Carbondale-Marion","IL","17077","17199",NA,NA,NA,"135,764","139,157","?2.44%","",NA,NA,NA,NA,NA,NA
"Harrisonburg","VA","51660",NA,NA,NA,NA,"134,964","125,228","7.77%","Harrisonburg-Staunton-Waynesboro, VA CSA",NA,NA,NA,NA,NA,NA
"Hammond","LA","22105",NA,NA,NA,NA,"134,758","121,097","11.28%","New Orleans-Metairie-Hammond, LA-MS CSA",NA,NA,NA,NA,NA,NA
"Battle Creek","MI","26025",NA,NA,NA,NA,"134,159","136,146","?1.46%","Kalamazoo-Battle Creek-Portage, MI CSA",184,266,NA,NA,NA,NA
"Springfield","OH","39023",NA,NA,NA,NA,"134,083","138,333","?3.07%","Dayton-Springfield-Kettering, OH CSA",73,NA,NA,NA,NA,NA
"Jonesboro","AR","05031",NA,NA,NA,NA,"133,860","121,026","10.60%","Jonesboro-Paragould, AR CSA",NA,NA,NA,NA,NA,NA
"The Villages","FL","12119",NA,NA,NA,NA,"132,420","93,420","41.75%","Orlando-Lakeland-Deltona, FL CSA",81,149,281,NA,NA,NA
"Manhattan","KS","20161",NA,NA,NA,NA,"130,285","127,081","2.52%","",NA,NA,NA,NA,NA,NA
"Johnstown","PA","42021",NA,NA,NA,NA,"130,192","143,679","?9.39%","Johnstown-Somerset, PA CSA",328,NA,NA,NA,NA,NA
"Albany-Lebanon","OR","41043",NA,NA,NA,NA,"129,749","116,672","11.21%","Portland-Vancouver-Salem, OR-WA CSA",125,143,226,366,NA,NA
"Mount Vernon-Anacortes","WA","53057",NA,NA,NA,NA,"129,205","116,901","10.53%","Seattle-Tacoma, WA CSA",201,330,NA,NA,NA,NA
"Bismarck","ND","38015",NA,NA,NA,NA,"128,949","110,625","16.56%","",NA,NA,NA,NA,NA,NA
"Lawton","OK","40031",NA,NA,NA,NA,"126,415","130,291","?2.97%","",NA,NA,NA,NA,NA,NA
"Sierra Vista-Douglas","AZ","04003",NA,NA,NA,NA,"125,922","131,346","?4.13%","",53,NA,NA,NA,NA,NA
"St. Joseph","MO","29021",NA,NA,NA,NA,"125,223","127,329","?1.65%","Kansas City-Overland Park-Kansas City, MO-KS CSA",NA,NA,NA,NA,NA,NA
"Glens Falls","NY","36113",NA,NA,NA,NA,"125,148","128,923","?2.93%","Albany-Schenectady, NY CSA",NA,NA,NA,NA,NA,NA
"Pittsfield","MA","25003",NA,NA,NA,NA,"124,944","131,219","?4.78%","",84,86,NA,NA,NA,NA
"Cleveland","TN","47011",NA,NA,NA,NA,"124,942","115,788","7.91%","Chattanooga-Cleveland-Dalton, TN-GA-AL CSA",100,289,NA,NA,NA,NA
"New Bern","NC","37049",NA,NA,NA,NA,"124,284","126,802","?1.99%","New Bern-Morehead City, NC CSA",236,NA,NA,NA,NA,NA
"Farmington","NM","35045",NA,NA,NA,NA,"123,958","130,044","?4.68%","",NA,NA,NA,NA,NA,NA
"Ames","IA","19169",NA,NA,NA,NA,"123,351","115,848","6.48%","Des Moines-Ames-West Des Moines, IA CSA",NA,NA,NA,NA,NA,NA
"Goldsboro","NC","37191",NA,NA,NA,NA,"123,131","122,623","0.41%","",NA,NA,NA,NA,NA,NA
"Staunton","VA","51015",NA,NA,NA,NA,"123,120","118,502","3.90%","Harrisonburg-Staunton-Waynesboro, VA CSA",NA,NA,NA,NA,NA,NA
"Lawrence","KS","20045",NA,NA,NA,NA,"122,259","110,826","10.32%","Kansas City-Overland Park-Kansas City, MO-KS CSA",199,NA,NA,NA,NA,NA
"San Angelo","TX","48451",NA,NA,NA,NA,"122,027","112,966","8.02%","",NA,NA,NA,NA,NA,NA
"Altoona","PA","42013",NA,NA,NA,NA,"121,829","127,089","?4.14%","",264,311,NA,NA,NA,NA
"Mansfield","OH","39139",NA,NA,NA,NA,"121,154","124,475","?2.67%","Mansfield-Ashland-Bucyrus, OH CSA",NA,NA,NA,NA,NA,NA
"Wenatchee","WA","53007",NA,NA,NA,NA,"120,629","110,884","8.79%","",15,313,NA,NA,NA,NA
"Missoula","MT","30063",NA,NA,NA,NA,"119,600","109,299","9.42%","",NA,NA,NA,NA,NA,NA
"Owensboro","KY","21059",NA,NA,NA,NA,"119,440","114,752","4.09%","",NA,NA,NA,NA,NA,NA
"Brunswick","GA","13127",NA,NA,NA,NA,"118,779","112,370","5.70%","",NA,NA,NA,NA,NA,NA
"Weirton-Steubenville","WV","54009","54029","39081",NA,NA,"116,074","124,454","?6.73%","Pittsburgh-New Castle-Weirton, PA-OH-WV CSA",299,NA,NA,NA,NA,NA
"Beckley","WV","54081",NA,NA,NA,NA,"115,767","124,898","?7.31%","",189,NA,NA,NA,NA,NA
"Sheboygan","WI","55117",NA,NA,NA,NA,"115,340","115,507","?0.14%","",349,NA,NA,NA,NA,NA
"Muncie","IN","18035",NA,NA,NA,NA,"114,135","117,671","?3.00%","Indianapolis-Carmel-Muncie, IN CSA",NA,NA,NA,NA,NA,NA
"Anniston-Oxford","AL","01015","01121",NA,NA,NA,"113,605","118,572","?4.19%","",353,NA,NA,NA,NA,NA
"California-Lexington Park","MD","24037",NA,NA,NA,NA,"113,510","105,151","7.95%","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA",NA,NA,NA,NA,NA,NA
"Williamsport","PA","42081",NA,NA,NA,NA,"113,299","116,111","?2.42%","Williamsport-Lock Haven, PA CSA",373,NA,NA,NA,NA,NA
"Twin Falls","ID","16083",NA,NA,NA,NA,"111,290","99,604","11.73%","",NA,NA,NA,NA,NA,NA
"Longview","WA","53015",NA,NA,NA,NA,"110,593","102,410","7.99%","Portland-Vancouver-Salem, OR-WA CSA",NA,NA,NA,NA,NA,NA
"Michigan City-La Porte","IN","18091",NA,NA,NA,NA,"109,888","111,467","?1.42%","Chicago-Naperville, IL-IN-WI CSA",157,271,NA,NA,NA,NA
"Kankakee","IL","17091",NA,NA,NA,NA,"109,862","113,449","?3.16%","Chicago-Naperville, IL-IN-WI CSA",NA,NA,NA,NA,NA,NA
"Watertown-Fort Drum","NY","36045",NA,NA,NA,NA,"109,834","116,229","?5.50%","",NA,NA,NA,NA,NA,NA
"Lewiston-Auburn","ME","23001",NA,NA,NA,NA,"108,277","107,702","0.53%","Portland-Lewiston-South Portland, ME CSA",105,NA,NA,NA,NA,NA
"Sebring-Avon Park","FL","12055",NA,NA,NA,NA,"106,221","98,786","7.53%","",81,229,NA,NA,NA,NA
"Decatur","IL","17115",NA,NA,NA,NA,"104,009","110,768","?6.10%","",NA,NA,NA,NA,NA,NA
"Fond du Lac","WI","55039",NA,NA,NA,NA,"103,403","101,633","1.74%","",248,336,NA,NA,NA,NA
"Bay City","MI","26017",NA,NA,NA,NA,"103,126","107,771","?4.31%","Saginaw-Midland-Bay City, MI CSA",228,374,NA,NA,NA,NA
"Gettysburg","PA","42001",NA,NA,NA,NA,"103,009","101,407","1.58%","Harrisburg-York-Lebanon, PA CSA",121,268,NA,NA,NA,NA
"Lima","OH","39003",NA,NA,NA,NA,"102,351","106,331","?3.74%","Lima-Van Wert-Celina, OH CSA",NA,NA,NA,NA,NA,NA
"Gadsden","AL","01055",NA,NA,NA,NA,"102,268","104,430","?2.07%","",338,NA,NA,NA,NA,NA
"Ithaca","NY","36109",NA,NA,NA,NA,"102,180","101,564","0.61%","Ithaca-Cortland, NY CSA",372,NA,NA,NA,NA,NA
"Mankato","MN","27013","27103","27079",NA,NA,"101,927","96,740","5.36%","Mankato-New Ulm, MN CSA",NA,NA,NA,NA,NA,NA
"Grand Forks","ND","38035",NA,NA,NA,NA,"100,815","98,461","2.39%","",NA,NA,NA,NA,NA,NA
"Victoria","TX","48469",NA,NA,NA,NA,"99,742","94,003","6.11%","Victoria-Port Lavaca, TX CSA",NA,NA,NA,NA,NA,NA
"Cheyenne","WY","56021",NA,NA,NA,NA,"99,500","91,738","8.46%","",150,156,NA,NA,NA,NA
"Hot Springs","AR","05051",NA,NA,NA,NA,"99,386","96,024","3.50%","Hot Springs-Malvern, AR CSA",NA,NA,NA,NA,NA,NA
"Rome","GA","13115",NA,NA,NA,NA,"98,498","96,317","2.26%","Atlanta되thens-Clarke County됩andy Springs, GA-AL CSA",NA,NA,NA,NA,NA,NA
"Dubuque","IA","19061",NA,NA,NA,NA,"97,311","93,653","3.91%","",NA,NA,NA,NA,NA,NA
"Cumberland","MD","24001",NA,NA,NA,NA,"97,284","103,299","?5.82%","",171,NA,NA,NA,NA,NA
"Fairbanks","AK","02090",NA,NA,NA,NA,"96,849","97,581","?0.75%","",NA,NA,NA,NA,NA,NA
"Cape Girardeau","MO","29031",NA,NA,NA,NA,"96,765","96,275","0.51%","Cape Girardeau-Sikeston, MO-IL CSA",NA,NA,NA,NA,NA,NA
"Pocatello","ID","16005",NA,NA,NA,NA,"95,489","90,656","5.33%","",NA,NA,NA,NA,NA,NA
"Corvallis","OR","41003",NA,NA,NA,NA,"93,053","85,579","8.73%","Portland-Vancouver-Salem, OR-WA CSA",143,312,NA,NA,NA,NA
"Ocean City","NJ","34009",NA,NA,NA,NA,"92,039","97,265","?5.37%","Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA",187,235,282,NA,NA,NA
"Parkersburg-Vienna","WV","54107",NA,NA,NA,NA,"89,339","92,673","?3.60%","Parkersburg-Marietta-Vienna, WV-OH CSA",NA,NA,NA,NA,NA,NA
"Pine Bluff","AR","05069",NA,NA,NA,NA,"87,804","100,258","?12.42%","Little Rock-North Little Rock, AR CSA",80,NA,NA,NA,NA,NA
"Grants Pass","OR","41033",NA,NA,NA,NA,"87,487","82,713","5.77%","Medford-Grants Pass, OR CSA",206,NA,NA,NA,NA,NA
"Columbus","IN","18005",NA,NA,NA,NA,"83,779","76,794","9.10%","Indianapolis-Carmel-Muncie, IN CSA",NA,NA,NA,NA,NA,NA
"Elmira","NY","36015",NA,NA,NA,NA,"83,456","88,830","?6.05%","Elmira-Corning, NY CSA",354,NA,NA,NA,NA,NA
"Bloomsburg-Berwick","PA","42037",NA,NA,NA,NA,"83,194","85,562","?2.77%","Bloomsburg-Berwick-Sunbury, PA CSA",340,NA,NA,NA,NA,NA
"Midland","MI","26111",NA,NA,NA,NA,"83,156","83,629","?0.57%","Saginaw-Midland-Bay City, MI CSA",228,350,NA,NA,NA,NA
"Kokomo","IN","18067",NA,NA,NA,NA,"82,544","82,752","?0.25%","Kokomo-Peru, IN CSA",NA,NA,NA,NA,NA,NA
"Great Falls","MT","30013",NA,NA,NA,NA,"81,366","81,327","0.05%","",NA,NA,NA,NA,NA,NA
"Hinesville","GA","13179",NA,NA,NA,NA,"80,994","77,917","3.95%","Savannah-Hinesville-Statesboro, GA CSA",139,NA,NA,NA,NA,NA
"Casper","WY","56025",NA,NA,NA,NA,"79,858","75,450","5.84%","",NA,NA,NA,NA,NA,NA
"Danville","IL","17183",NA,NA,NA,NA,"75,758","81,625","?7.19%","",202,NA,NA,NA,NA,NA
"Grand Island","NE","31079",NA,NA,NA,NA,"75,553","72,726","3.89%","",NA,NA,NA,NA,NA,NA
"Lewiston","ID","16069",NA,NA,NA,NA,"62,990","60,888","3.45%","",NA,NA,NA,NA,NA,NA
"Enid","OK","40047",NA,NA,NA,NA,"61,056","60,580","0.79%","",NA,NA,NA,NA,NA,NA
"Walla Walla","WA","53071",NA,NA,NA,NA,"60,760","58,781","3.37%","",166,NA,NA,NA,NA,NA
"Carson City","NV","32510",NA,NA,NA,NA,"55,916","55,274","1.16%","Reno-Carson City-Fernley, NV CSA",115,NA,NA,NA,NA,NA
